,AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,SALES_PRICE,AGE_OF_HOUSE
16,4,1639,175,2.0,2.0,4,3,1,1,1,0,2,2.3,3.2,4.8,3.57,8656000,18
17,2,796,134,1.0,1.0,2,1,1,0,0,1,4,3.5,4.6,4.7,4.3,10912550,36
18,0,1136,69,1.0,1.0,3,3,1,2,0,2,0,4.6,2.6,2.9,3.35,8287550,30
19,1,1902,168,2.0,1.0,5,2,1,0,1,2,4,4.5,4.9,4.9,4.76,21203240,42
20,2,1069,53,1.0,1.0,3,0,1,2,2,2,5,2.8,2.7,4.9,3.39,10905530,4
21,2,931,96,1.0,1.0,3,0,1,2,1,2,4,4.2,3.1,3.1,3.43,9185970,22
22,3,2010,114,3.0,2.0,5,4,0,2,2,0,3,3.4,4.5,3.4,3.73,10925400,10
23,2,1074,100,1.0,1.0,3,0,0,2,2,0,4,3.0,3.4,4.9,3.73,9627380,16
24,5,1972,111,2.0,1.0,5,1,0,2,2,1,3,4.1,4.4,2.8,3.59,13922760,5
25,5,1685,105,1.0,1.0,4,2,0,1,2,0,5,2.8,4.4,4.0,3.74,12601080,34
26,0,1130,29,1.0,1.0,3,2,1,0,1,2,3,2.3,2.5,2.2,2.29,13383350,30
27,4,1301,59,1.0,1.0,3,3,1,2,2,0,1,2.8,2.7,3.8,3.17,7939625,7
28,0,730,185,1.0,1.0,2,1,1,1,1,0,4,2.7,4.6,4.9,4.18,8848285,39
29,5,1806,138,2.0,1.0,5,2,0,1,2,2,3,4.1,5.0,3.0,3.83,11338200,35
30,1,1981,173,2.0,1.0,5,1,0,1,1,1,4,2.0,3.1,3.2,2.755,12872430,9
31,0,868,15,1.0,1.0,3,3,0,2,2,0,4,2.3,2.1,2.0,2.11,9042050,10
32,5,1721,117,1.0,1.0,4,1,1,2,1,2,5,2.0,2.8,2.9,2.605,14874380,20
33,6,1755,16,2.0,1.0,4,1,1,2,0,0,0,4.8,4.5,4.5,4.58,10222380,19
34,1,1709,130,1.0,1.0,4,2,0,2,2,0,3,4.8,3.2,4.3,4.2,12928590,6
35,3,2114,46,3.0,2.0,5,1,1,0,2,0,3,2.7,3.0,3.9,3.27,17564820,21
36,4,1226,180,1.0,1.0,3,3,0,1,0,2,0,4.0,3.7,4.7,4.19,4971250,27
37,6,1648,111,2.0,1.0,4,2,1,2,2,2,1,4.3,2.9,2.0,2.98,9170660,13
38,2,856,36,1.0,1.0,3,1,1,2,2,0,5,2.1,3.6,3.5,3.12,10383420,26
39,0,904,52,1.0,1.0,3,1,0,0,1,1,5,3.8,3.2,2.6,3.08,11601400,40
40,2,1198,105,1.0,1.0,3,3,0,2,0,1,3,3.9,3.4,4.4,3.85,8249260,36
41,4,931,16,1.0,1.0,3,1,0,0,0,2,0,4.0,4.2,2.4,3.42,6944500,18
42,4,1290,86,1.0,1.0,3,1,1,1,0,2,3,3.1,2.1,4.1,3.2,7745000,48
43,4,507,49,1.0,1.0,2,0,1,1,1,0,3,2.6,4.6,4.6,4.0,5728000,46
44,3,2492,113,4.0,2.0,6,0,0,0,2,2,4,4.3,4.6,3.8,4.19,18725520,16
45,4,851,105,1.0,1.0,2,4,0,1,0,1,1,4.0,3.8,2.5,3.34,3572250,29
46,5,1882,189,2.0,1.0,5,0,1,2,1,0,5,3.9,4.5,4.7,3.5032537884152344,16051580,21
47,1,1710,15,1.0,1.0,4,3,1,0,0,0,3,2.7,4.0,2.2,2.825,20215970,11
48,4,1412,28,2.0,2.0,4,1,0,1,1,0,4,4.1,2.9,3.1,3.34,8379000,28
49,0,779,51,1.0,1.0,2,3,0,1,2,1,1,3.6,4.4,2.4,3.16,5290635,9
50,5,1655,19,1.0,1.0,4,0,0,2,0,0,3,2.1,4.3,3.9,3.46,12548930,34
51,4,940,167,1.0,1.0,3,1,0,1,0,2,3,2.7,2.7,4.1,3.26,5857750,49
52,3,1667,126,2.0,1.0,4,4,1,1,2,2,5,4.8,2.1,5.0,4.07,10729700,5
53,3,1926,49,3.0,2.0,5,2,1,0,2,2,5,3.1,2.9,4.7,3.68,17006780,9
54,0,718,75,1.0,1.0,2,4,1,2,1,1,1,2.0,3.9,3.4,3.08,5570050,30
55,4,545,154,1.0,1.0,2,4,0,2,1,1,3,3.1,2.2,3.4,2.95,3854375,30
56,4,1249,25,1.0,1.0,3,1,1,2,1,0,3,2.8,3.7,3.5,3.35,8594875,36
57,5,1894,187,2.0,1.0,5,4,1,1,2,0,4,2.0,3.7,4.4,3.505,13549250,45
58,4,1469,200,2.0,2.0,4,0,0,0,2,1,1,4.7,2.0,2.4,2.97,9480750,5
59,0,916,32,1.0,1.0,3,3,1,1,1,1,0,3.6,3.0,3.9,3.63,5847520,28
60,2,934,11,1.0,1.0,3,1,1,1,2,2,5,3.4,4.0,3.8,3.76,9710900,22
61,4,1691,100,2.0,2.0,4,0,0,1,2,0,5,4.0,3.9,3.5,3.77,9398750,31
62,4,1236,36,1.0,1.0,3,3,0,0,2,2,2,3.3,3.3,2.0,2.78,8806250,39
63,5,1577,23,1.0,1.0,4,4,1,2,2,2,3,3.8,4.7,3.9,4.07,12087330,36
64,1,1915,13,2.0,1.0,5,4,1,2,2,0,3,4.6,2.3,4.5,3.985,14175620,41
65,1,1600,154,1.0,1.0,4,2,1,1,1,0,3,3.9,2.7,2.5,3.04,11920820,21
66,6,1579,58,2.0,1.0,4,0,1,0,1,2,2,4.6,2.3,2.3,2.88,13364730,24
67,0,1260,89,2.0,2.0,4,4,0,2,2,1,0,3.8,4.1,4.5,4.21,6922975,25
68,0,1021,176,1.0,1.0,3,3,0,0,2,2,2,3.5,4.8,2.5,3.26,11673175,5
69,3,2174,48,3.0,2.0,5,2,1,2,0,2,5,2.9,2.1,2.3,2.42,13069740,23
70,1,1589,39,1.0,1.213260135135135,4,4,0,2,0,0,4,2.1,2.5,4.5,3.16,12212350,44
71,0,668,177,1.0,1.0,2,0,1,0,2,0,2,4.9,2.9,3.5,3.8,10283575,5
72,6,1724,116,2.0,1.0,4,0,1,1,1,1,4,3.8,2.2,2.0,2.54,8956480,54
73,0,890,116,1.0,1.0,3,0,1,1,2,2,1,2.5,4.7,5.0,4.19,7187350,30
74,0,1218,51,2.0,2.0,4,3,0,0,0,1,2,4.7,3.9,3.3,3.84,12574850,30
75,1,1792,41,1.0,1.0,4,2,1,1,1,0,5,2.7,2.6,2.0,2.395,13906270,21
76,4,1378,192,2.0,2.0,4,1,0,2,2,0,5,4.2,2.8,2.6,3.14,9917500,9
77,4,898,72,1.0,1.0,3,4,1,0,2,2,3,2.4,3.1,2.1,2.49,8629750,29
78,1,1928,148,2.0,1.0,5,4,0,1,0,1,3,3.4,4.1,2.4,3.175,11667050,10
79,2,1233,24,2.0,1.0,4,0,0,1,2,0,5,2.2,2.0,4.6,2.84,9817150,33
80,6,1618,100,2.0,1.0,4,1,1,2,2,2,1,4.0,4.3,4.1,4.17,9263050,40
81,4,627,49,1.0,1.0,2,2,0,1,2,0,5,4.3,2.8,2.5,3.13,6587500,28
82,6,1563,43,2.0,1.0,4,2,0,1,2,0,5,4.7,4.5,2.6,3.98,9799360,28
83,4,1693,187,2.0,2.0,4,3,1,0,2,0,1,3.9,2.1,3.9,3.36,12801500,6
84,5,1522,85,1.0,1.0,4,4,0,0,0,0,4,4.2,3.6,3.5,3.735,17454510,43
85,0,1090,171,1.0,1.0,3,4,1,2,2,0,3,3.1,2.7,2.3,2.62,9832420,28
86,2,1085,149,1.0,1.0,3,0,1,0,2,0,4,2.8,3.8,4.6,3.5032537884152344,14363500,6
87,5,1687,73,1.0,1.0,4,0,0,2,2,2,3,4.6,4.6,2.0,3.43,12476770,13
88,0,692,62,1.0,1.0,2,3,1,0,0,2,3,4.1,4.4,5.0,4.61,10381355,37
89,5,1518,145,1.0,1.0,4,2,1,0,0,2,3,3.7,3.5,4.1,3.83,17600240,37
90,0,1025,125,1.0,1.0,3,4,0,0,2,2,2,2.5,2.5,2.7,2.6,10934875,25
91,3,2170,121,3.0,2.0,5,2,1,1,2,0,4,3.7,4.6,4.0,4.09,12372160,8
92,2,969,70,1.0,1.0,3,2,1,0,1,1,3,3.4,2.4,4.0,3.18,11248750,17
93,3,1546,129,2.0,1.0,4,0,0,0,0,0,5,2.5,4.3,2.8,3.16,14241140,27
94,3,1709,6,2.0,1.0,4,0,1,1,2,2,4,4.3,3.7,2.0,3.2,10160600,20
95,5,1659,103,1.0,1.0,4,1,1,2,2,1,4,3.8,2.3,3.8,3.425,13539080,18
96,2,755,8,1.0,1.0,2,3,0,0,1,0,5,3.8,4.4,2.7,3.71,10727750,33
97,0,1182,50,1.0,1.0,3,3,1,1,0,1,4,3.2,3.5,3.1,3.21,9867055,17
98,0,735,67,1.0,1.0,2,1,0,0,2,1,3,2.7,4.0,4.0,3.61,9478710,14
99,2,1089,0,1.0,1.0,3,3,1,1,1,2,4,2.7,2.9,3.1,2.9,9050200,32
100,6,1534,6,2.0,1.0,4,4,1,2,1,2,1,4.7,4.6,2.3,3.94,7904210,53
101,1,1622,147,1.0,1.0,4,2,1,1,1,0,4,4.4,3.7,4.2,4.145,13063450,5
102,3,2198,71,3.0,2.0,5,4,1,2,2,0,5,4.8,4.2,3.9,4.26,13584980,21
103,2,1293,34,2.0,1.0,4,3,0,0,1,1,4,3.1,2.2,3.8,2.95,13116050,39
104,3,1641,178,2.0,1.0,4,4,0,2,0,0,4,4.6,4.4,3.1,3.94,10012600,29
105,6,1950,185,3.0,2.0,5,1,1,2,2,2,4,5.0,4.2,3.4,4.16,12105920,41
106,4,1245,106,1.0,1.0,3,4,0,2,2,2,0,4.1,2.9,3.5,3.5,4918375,28
107,2,905,144,1.0,1.0,3,2,0,2,1,0,3,3.8,3.5,4.0,3.74,7703200,33
108,3,1496,135,2.0,1.0,4,2,0,1,2,0,3,3.2,3.8,2.8,3.22,8569080,14
109,6,1892,38,3.0,2.0,5,1,1,1,1,0,5,3.9,3.5,4.8,3.99,12146620,36
110,6,1517,40,2.0,1.0,4,2,0,0,1,2,1,4.0,4.6,2.9,3.94,11671620,11
111,0,1034,73,1.0,1.0,3,1,1,2,1,0,1,3.8,3.3,3.5,3.5032537884152344,9256740,16
112,6,1755,142,2.0,1.0,4,2,1,0,2,0,2,4.6,4.0,3.9,4.12,14915900,35
113,1,1622,79,1.0,1.0,4,1,1,1,2,2,5,2.2,3.3,2.2,2.475,13547790,7
114,2,1092,89,1.0,1.0,3,3,0,2,0,1,3,2.4,2.4,2.0,2.28,8213040,4
115,2,821,34,1.0,1.0,3,1,0,1,2,2,3,3.4,4.6,2.9,3.73,7304000,8
116,3,1694,72,2.0,1.0,4,2,0,2,2,0,4,4.0,2.0,3.9,3.36,10390900,11
117,1,1809,177,2.0,1.0,5,2,0,0,0,1,4,3.0,3.5,2.0,2.725,19206870,26
118,4,1401,20,2.0,2.0,4,4,1,2,0,0,4,3.8,4.3,4.0,4.03,9965375,14
119,4,1470,99,2.0,2.0,4,0,0,2,2,1,3,3.1,3.0,3.1,3.07,7207000,25
120,2,798,166,1.0,1.0,2,4,0,0,2,2,3,2.3,2.6,3.6,2.81,9070550,37
121,2,764,137,1.0,1.0,2,4,0,1,1,1,3,3.3,3.2,2.1,2.9,5670200,8
122,2,1135,50,1.0,1.0,3,0,0,2,2,1,5,4.9,2.1,3.8,3.45,9253200,23
123,4,939,74,1.0,1.0,3,0,0,1,1,1,2,4.9,3.7,3.3,3.9,4294000,38
124,4,1586,59,2.0,2.0,4,3,1,0,2,0,5,3.9,3.0,4.5,3.87,14316000,28
125,5,1973,63,2.0,1.0,5,2,1,0,0,0,5,2.6,2.9,4.9,3.71,23307000,35
126,2,1023,44,1.0,1.0,3,4,1,1,0,2,5,3.0,2.8,3.6,3.1,9735150,17
127,2,884,75,1.0,1.0,3,3,0,0,2,1,5,2.3,3.8,2.4,2.93,11336400,4
128,1,1640,113,1.0,1.0,4,1,0,0,1,1,3,2.5,3.1,3.5,3.05,17701600,5
129,0,622,60,1.0,1.0,2,3,0,2,1,1,4,2.7,4.9,3.5,3.54,6572900,20
130,1,1880,90,2.0,1.0,5,4,1,1,2,1,5,3.2,4.2,4.0,3.77,13423020,16
131,3,2413,166,4.0,2.0,6,0,0,2,2,2,5,2.5,2.4,2.9,2.63,13122040,9
132,5,1649,169,1.0,1.0,4,1,0,0,0,0,3,2.1,2.0,4.6,3.2,18939100,25
133,6,1729,144,2.0,1.0,4,4,1,0,2,2,0,3.3,4.0,4.0,3.83,12803570,41
134,5,1942,10,2.0,1.0,5,2,0,1,2,0,3,4.6,3.1,2.9,3.5032537884152344,12330740,37
135,2,711,116,1.0,1.0,2,1,1,2,2,1,4,2.6,3.2,2.8,2.9,8050270,12
136,2,885,122,1.0,1.0,3,2,0,1,1,1,5,4.6,2.7,2.1,3.09,7194600,32
137,3,1688,148,2.0,1.0,4,0,1,1,2,0,5,2.0,2.5,4.4,3.11,11412700,15
138,0,1236,108,2.0,2.0,4,2,0,0,1,0,0,3.7,3.5,4.4,4.01,12035355,37
139,4,926,98,1.0,1.0,3,2,0,1,1,0,4,4.3,4.8,2.9,3.89,6877000,20
140,3,1686,57,2.0,1.0,4,0,0,2,2,2,5,3.2,2.7,3.9,3.33,10346400,24
141,4,1344,129,2.0,2.0,4,1,0,0,2,0,3,4.6,4.2,3.3,3.96,10809500,50
142,3,1437,104,2.0,1.0,4,2,0,2,0,0,5,3.8,4.6,2.6,3.56,10200600,23
143,4,1430,17,2.0,2.0,4,0,1,2,2,1,0,4.3,3.2,3.8,3.5032537884152344,6635750,10
144,0,1081,85,1.0,1.0,3,2,0,1,0,1,1,3.5,3.1,3.2,3.27,6190150,30
145,4,1352,1,2.0,2.0,4,3,1,1,1,0,0,3.0,2.0,3.5,2.9,6507250,27
146,3,1986,109,3.0,2.0,5,3,0,1,0,0,5,4.9,3.6,4.6,4.39,11350400,30
147,1,1758,164,1.0,1.0,4,4,1,0,0,1,4,3.5,2.9,4.0,3.55,19285540,42
148,4,607,121,1.0,1.0,2,3,0,2,2,0,4,4.2,4.9,2.2,3.61,5856625,46
149,3,2139,136,3.0,2.0,5,3,1,2,2,2,4,2.3,4.1,2.4,2.88,12472000,21
150,3,1488,97,2.0,1.0,4,4,0,2,0,2,3,2.3,5.0,4.1,3.83,8441900,27
151,6,1645,96,2.0,1.0,4,4,0,1,2,1,3,3.7,4.5,2.1,3.58,7579320,26
152,2,950,177,1.0,1.0,3,3,1,2,2,0,4,3.7,2.6,3.4,3.17,9759000,26
153,2,928,90,1.0,1.0,3,4,1,0,0,0,3,2.1,3.8,3.7,3.26,12423800,4
154,6,1693,145,2.0,1.0,4,3,1,0,2,2,5,4.1,2.7,4.1,3.47,15495760,53
155,6,1873,0,3.0,2.0,5,2,1,2,1,1,4,4.8,3.4,3.9,3.9,11022270,21
156,0,721,145,1.0,1.0,2,4,0,2,2,2,4,3.4,2.8,4.6,3.88,7605550,10
157,4,1190,37,1.0,1.0,3,2,1,1,2,0,3,4.3,4.1,3.8,4.04,7967750,29
158,3,1593,9,2.0,1.0,4,4,0,2,0,2,3,3.2,3.2,4.2,3.6,8946800,17
159,2,786,181,1.0,1.0,2,0,1,2,1,0,4,4.4,4.8,4.3,4.53,9244820,12
160,2,1195,93,1.0,1.0,3,1,0,2,2,2,4,3.0,4.7,3.2,3.74,9821600,19
161,6,1824,187,3.0,2.0,5,3,0,1,2,2,2,3.9,2.3,4.1,3.5032537884152344,8549060,33
162,3,1906,81,3.0,2.0,5,0,1,0,2,2,3,3.7,4.7,3.0,3.72,15852740,7
163,0,656,20,1.0,1.0,2,0,0,0,0,2,2,4.5,2.3,2.3,2.96,8757635,9
164,2,727,84,1.0,1.0,2,0,0,2,1,0,5,3.1,4.3,2.5,3.4,8415990,16
165,0,931,37,1.0,1.0,3,2,1,2,1,2,5,2.0,3.6,4.0,3.32,9935595,33
166,6,1898,108,3.0,2.0,5,1,1,0,1,1,5,3.9,2.7,4.4,3.51,16617860,38
167,1,1698,15,1.0,1.0,4,2,0,1,2,0,5,5.0,4.9,3.1,4.215,12412050,40
168,5,1926,193,2.0,1.0,5,1,1,0,2,1,5,4.2,4.9,3.1,3.88,22630540,17
169,4,1481,144,2.0,2.0,4,4,1,0,0,2,0,3.7,4.9,2.3,3.5,9901500,38
170,1,1506,122,1.0,1.0,4,2,0,1,1,1,5,3.9,3.4,2.1,3.055,10449910,33
171,2,1020,95,1.0,1.0,3,2,0,1,2,1,5,4.2,2.4,4.1,3.45,7948600,24
172,2,889,196,1.0,1.0,3,0,0,2,1,0,5,5.0,2.4,2.0,3.06,9098680,21
173,2,1015,147,1.0,1.0,3,2,1,1,0,2,3,3.9,4.4,2.0,3.53,8342850,35
174,5,1682,78,1.0,1.0,4,0,0,0,0,0,3,3.7,3.0,3.5,3.435,18662350,35
175,2,869,39,1.0,1.0,3,2,0,2,2,1,5,4.3,4.8,3.3,4.2,8172630,18
176,4,1445,20,2.0,2.0,4,2,0,1,2,1,2,4.9,2.9,2.5,3.34,5856500,24
177,1,1919,178,2.0,1.0,5,4,1,1,2,0,5,2.4,5.0,3.3,3.41,14704160,13
178,0,1243,141,2.0,2.0,4,3,1,0,2,2,1,3.9,4.3,2.2,3.13,13360440,36
179,4,857,158,1.0,1.0,2,3,0,1,1,2,2,3.6,2.4,3.4,3.16,4928250,17
180,4,1055,174,1.0,1.0,3,1,1,2,2,0,2,3.7,2.3,4.8,3.72,7315125,48
181,3,1778,94,3.0,2.0,5,2,0,2,2,0,4,3.1,3.9,4.4,3.86,10998320,8
182,4,851,124,1.0,1.0,2,1,0,2,1,2,0,3.8,4.8,2.6,3.62,3936375,41
183,2,1021,82,1.0,1.0,3,4,1,2,2,1,4,2.0,2.5,4.6,2.98,9201770,4
184,3,2203,76,3.0,2.0,5,0,1,0,2,2,4,2.9,2.0,4.0,3.07,17891240,22
185,4,613,81,1.0,1.0,2,2,0,0,2,1,2,4.6,4.3,2.3,3.59,5144500,30
186,0,738,69,1.0,1.0,2,4,0,0,2,1,2,2.4,4.7,5.0,3.5032537884152344,8312670,18
187,4,1489,177,2.0,2.0,4,1,0,1,1,0,3,4.4,3.2,4.0,3.88,8007250,29
188,4,795,73,1.0,1.0,2,0,1,1,2,0,5,3.4,2.6,4.9,3.76,8479250,9
189,6,1909,11,3.0,2.0,5,2,1,2,0,0,0,4.6,4.1,5.0,4.5,10129160,33
190,2,1252,190,2.0,1.0,4,2,0,1,0,1,5,3.6,4.9,4.6,4.42,9482200,12
191,4,1077,144,1.0,1.0,3,0,0,0,1,2,5,3.3,4.9,4.2,4.14,9846750,33
192,3,1524,73,2.0,1.0,4,3,0,2,2,2,3,3.6,2.7,2.8,3.01,8675820,27
193,2,1049,36,1.0,1.0,3,4,1,1,1,0,5,4.2,4.9,3.4,4.24,10262450,11
194,6,1780,194,2.0,1.0,4,0,0,2,0,0,1,4.7,2.0,2.9,2.95,8671050,55
195,2,946,14,1.0,1.0,3,1,0,0,1,1,4,3.8,3.1,4.5,3.73,11165550,17
196,2,906,116,1.0,1.0,3,4,1,1,2,0,5,3.2,4.6,3.2,3.76,9464800,32
197,3,2344,71,4.0,2.0,6,0,0,0,2,0,5,4.9,3.2,4.4,4.19,18849880,24
198,0,929,76,1.0,1.0,3,1,1,2,2,2,3,2.4,2.3,2.7,2.53,9480425,15
199,1,1843,158,2.0,1.0,5,1,0,1,1,1,4,3.9,3.4,3.3,3.535,12264750,15
200,1,1918,187,2.0,1.0,5,4,1,0,0,0,4,3.2,2.5,2.3,2.665,21875050,35
201,3,1507,54,2.0,1.0,4,3,1,0,0,2,3,3.2,4.8,3.0,3.6,13538580,19
202,3,1499,89,2.0,1.0,4,2,0,1,0,0,3,2.5,3.0,4.6,3.49,8876320,6
203,3,1526,64,2.0,1.0,4,3,1,0,0,2,3,4.1,3.8,4.5,4.17,13645040,22
204,1,1855,82,2.0,1.0,5,0,1,0,2,2,3,3.3,2.1,4.8,3.6,20996200,10
205,4,1627,39,2.0,2.0,4,3,1,2,1,2,3,4.1,4.6,2.5,3.61,9071125,30
206,6,1846,28,3.0,2.0,5,0,0,1,0,0,5,3.6,3.9,2.0,3.26,10815830,39
207,3,2019,65,3.0,2.0,5,0,1,2,2,2,5,3.8,3.1,3.2,3.35,12802500,16
208,4,1578,153,2.0,2.0,4,3,1,2,0,0,2,4.3,4.6,3.4,3.5032537884152344,9532500,13
209,6,1780,115,2.0,1.0,4,2,1,0,2,1,1,2.8,4.6,2.5,3.52,13346700,25
210,4,662,148,1.0,1.0,2,4,0,0,2,1,1,4.7,3.3,2.5,3.4,4356500,38
211,2,1005,17,1.0,1.0,3,2,0,0,2,0,4,2.2,2.8,4.9,3.25,12257100,26
212,4,839,102,1.0,1.0,2,4,0,1,2,2,1,4.6,4.6,2.3,3.68,4100500,20
213,1,1698,76,1.0,1.0,4,4,0,1,0,1,5,4.7,4.4,4.3,4.465,11527430,34
214,0,878,16,1.0,1.0,3,4,1,1,2,2,0,5.0,3.3,5.0,4.66,6452785,19
215,2,835,77,1.0,1.0,3,4,1,1,1,2,5,3.8,4.5,3.0,3.84,8434750,37
216,2,911,84,1.0,1.0,3,4,1,2,1,1,3,3.8,3.8,2.0,3.26,7427820,33
217,6,1796,176,2.0,1.0,4,1,1,1,1,1,3,4.8,2.1,3.8,3.29,9105350,50
218,4,1004,182,1.0,1.0,3,1,0,2,1,1,1,4.9,3.3,3.1,3.7,4721500,28
219,1,1694,86,1.0,1.0,4,3,0,2,2,2,4,2.6,2.5,2.4,2.495,12575010,27
220,4,1244,50,1.0,1.0,3,0,1,2,0,0,2,2.5,2.1,2.6,2.42,7952750,31
221,4,588,163,1.0,1.0,2,4,0,2,0,2,4,4.9,4.2,3.5,4.13,5705500,24
222,3,2342,69,4.0,2.0,6,1,1,1,2,2,4,4.1,3.8,2.6,3.41,12898740,7
223,6,1835,88,3.0,2.0,5,3,0,2,0,2,4,4.7,2.6,2.1,2.98,10722580,29
224,1,1977,84,2.0,1.0,5,4,1,1,0,0,4,4.6,4.8,3.9,4.37,14102960,43
225,3,1961,104,3.0,2.0,5,0,1,0,2,0,5,2.0,2.6,3.2,2.66,17612900,15
226,6,1517,82,2.0,1.0,4,3,1,1,2,1,0,3.2,3.5,3.8,3.52,7146890,12
227,3,2409,103,4.0,2.0,6,4,1,2,2,0,4,4.3,4.0,2.0,3.29,13476480,25
228,6,1864,187,3.0,2.0,5,4,0,0,1,0,3,3.2,4.6,2.8,3.71,15100560,23
229,6,1643,52,2.0,1.0,4,2,1,0,0,2,5,4.8,3.6,2.4,3.54,15599020,31
230,0,1015,76,1.0,1.0,3,2,1,0,2,1,1,4.6,2.2,2.3,2.97,11224620,8
231,1,1700,135,1.0,1.0,4,3,1,2,2,1,3,4.3,2.7,2.4,3.14,12477040,32
232,4,624,34,1.0,1.0,2,2,0,0,1,1,1,4.4,3.4,3.0,3.54,4396250,31
233,2,980,84,1.0,1.0,3,3,0,0,2,2,4,3.0,3.8,4.6,3.8,11900750,17
234,4,1003,196,1.0,1.0,3,0,1,0,2,0,3,2.5,4.3,4.4,3.8,10090000,20
235,0,1072,66,1.0,1.0,3,2,1,1,2,1,0,2.3,2.3,2.3,2.3,6607690,6
236,4,808,119,1.0,1.0,2,1,0,1,2,0,1,3.1,2.4,3.0,2.85,4752250,35
237,2,1027,131,1.0,1.0,3,3,0,1,1,2,3,2.8,3.7,3.3,3.31,7441350,21
238,4,696,84,1.0,1.0,2,3,0,1,2,0,4,3.5,2.1,3.6,3.12,6441250,11
239,6,1716,86,2.0,1.0,4,2,1,1,1,2,4,2.1,3.3,2.2,2.67,10359860,8
240,6,1878,18,3.0,2.0,5,2,0,0,0,2,1,5.0,2.6,4.8,3.86,14328720,6
241,3,1699,98,2.0,1.0,4,3,1,2,2,0,4,4.3,2.9,2.4,3.12,11444100,16
242,3,1626,188,2.0,1.0,4,0,0,1,0,2,5,2.9,3.6,2.7,3.03,9680280,24
243,3,1730,200,2.0,1.0,4,3,0,0,2,0,4,2.1,3.5,3.5,3.08,14739360,18
244,2,996,78,1.0,1.0,3,2,0,2,1,0,4,4.1,4.9,2.6,3.97,8939620,22
245,2,1277,111,2.0,1.0,4,1,1,0,0,1,5,4.0,3.8,3.4,3.74,15710400,16
246,2,906,64,1.0,1.0,3,3,0,0,2,2,3,3.2,2.3,2.9,2.75,10226600,32
247,1,1976,112,2.0,1.0,5,4,0,1,2,2,4,5.0,2.9,2.2,3.355,12300050,39
248,6,1776,120,2.0,1.0,4,3,1,1,2,2,3,4.9,2.4,3.4,3.5032537884152344,9989170,21
249,4,1402,112,2.0,2.0,4,3,0,1,2,0,2,3.7,3.6,5.0,4.19,6966500,30
250,2,1160,138,1.0,1.0,3,1,1,2,0,1,3,4.4,3.4,2.7,3.49,9463900,30
251,6,1957,134,3.0,2.0,5,3,1,0,1,1,2,4.6,3.7,3.1,3.75,15199450,25
252,5,1887,48,2.0,1.0,5,1,0,0,2,1,4,2.3,2.4,3.3,2.775,20499450,20
253,6,1859,142,3.0,2.0,5,3,1,1,1,2,3,4.6,4.9,4.4,4.68,9925210,48
254,2,747,168,1.0,1.0,2,2,1,0,0,1,5,4.9,2.7,2.7,3.36,11223550,5
255,0,985,159,1.0,1.0,3,4,1,1,2,2,1,3.6,2.7,2.1,2.67,7379505,7
256,2,1024,77,1.0,1.0,3,3,1,0,0,1,3,3.4,3.3,2.7,3.15,12091400,16
257,6,1600,148,2.0,1.0,4,2,1,2,1,2,4,2.9,3.5,4.9,3.77,10530200,25
