,PRT_ID,AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE,YEAR_BUILD,YEAR_SOLD,AGE_OF_HOUSE
18,P08160,Adyar,1136,2008-05-04,69,1.0,1.0,3,Normal Sale,Yes,1978-04-13,Others,AllPub,Paved,A,4.6,2.6,2.9,3.35,323214,49725,8287550,1978,2008,30
19,P01372,Anna Nagar,1902,2012-02-07,168,2.0,1.0,5,Family,Yes,1970-07-13,Commercial,ELO,Paved,RL,4.5,4.9,4.9,4.76,742113,212032,21203240,1970,2012,42
20,P00936,Chrompet,1069,2013-04-19,53,1.0,1.0,3,AbNormal,Yes,2009-04-20,Others,NoSeWa,Paved,RM,2.8,2.7,4.9,3.39,283544,43622,10905530,2009,2013,4
21,P07346,Chrompet,931,2008-12-13,96,1.0,1.0,3,AbNormal,Yes,1986-12-19,Others,ELO,Paved,RL,4.2,3.1,3.1,3.43,248021,27558,9185970,1986,2008,22
22,P06851,KK Nagar,2010,2009-06-05,114,3.0,2.0,5,Partial,No,1999-09-05,Others,NoSeWa,Gravel,RH,3.4,4.5,3.4,3.73,327762,262210,10925400,1999,2009,10
23,P04665,Chrompet,1074,2010-07-23,100,1.0,1.0,3,AbNormal,No,1994-07-27,Others,NoSeWa,Gravel,RL,3.0,3.4,4.9,3.73,288821,86646,9627380,1994,2010,16
24,P00902,T Nagar,1972,2013-05-13,111,2.0,1.0,5,AdjLand,No,2008-05-14,Others,NoSeWa,No Access,RH,4.1,4.4,2.8,3.59,487297,167073,13922760,2008,2013,5
25,P00293,T Nagar,1685,2014-07-19,105,1.0,1.0,4,Family,No,1980-07-27,House,NoSeWa,Gravel,RM,2.8,4.4,4.0,3.74,352830,176415,12601080,1980,2014,34
26,P02235,Adyar,1130,2011-10-11,29,1.0,1.0,3,Family,Yes,1981-11-17,Commercial,ELO,Paved,RH,2.3,2.5,2.2,2.29,468417,53533,13383350,1981,2011,30
27,P04080,Karapakkam,1301,2010-12-11,59,1.0,1.0,3,Normal Sale,Yes,2003-11-14,Others,NoSeWa,Gravel,C,2.8,2.7,3.8,3.17,357283,71457,7939625,2003,2010,7
28,P02677,Adyar,730,2011-08-19,185,1.0,1.0,2,AdjLand,Yes,1972-08-28,House,ELO,Gravel,RL,2.7,4.6,4.9,4.18,265449,53090,8848285,1972,2011,39
29,P00755,T Nagar,1806,2013-08-18,138,2.0,1.0,5,Family,No,1978-08-27,House,NoSeWa,Paved,RH,4.1,5.0,3.0,3.83,430852,113382,11338200,1978,2013,35
30,P06980,Anna Nagar,1981,2009-01-04,173,2.0,1.0,5,AdjLand,No,2000-03-04,House,ELO,No Access,RL,2.0,3.1,3.2,2.755,373300,218831,12872430,2000,2009,9
31,P02696,Adyar,868,2011-08-15,15,1.0,1.0,3,Normal Sale,No,2001-08-17,Others,NoSeWa,Gravel,RL,2.3,2.1,2.0,2.11,325514,72336,9042050,2001,2011,10
32,P01517,T Nagar,1721,2012-03-26,117,1.0,1.0,4,AdjLand,Yes,1992-03-31,Others,ELO,Paved,RM,2.0,2.8,2.9,2.605,416483,223116,14874380,1992,2012,20
33,P09650,Velachery,1755,2006-04-28,16,2.0,1.0,4,AdjLand,Yes,1987-03-05,Others,AllPub,Gravel,A,4.8,4.5,4.5,4.58,306671,173780,10222380,1987,2006,19
34,P05950,Anna Nagar,1709,2009-11-22,130,1.0,1.0,4,Family,No,2003-11-24,Others,NoSeWa,Gravel,RH,4.8,3.2,4.3,4.2,452501,90500,12928590,2003,2009,6
35,P05051,KK Nagar,2114,2010-09-05,46,3.0,2.0,5,AdjLand,Yes,1989-05-14,Commercial,NoSeWa,Gravel,RH,2.7,3.0,3.9,3.27,632334,281037,17564820,1989,2010,21
36,P04978,Karapakkam,1226,2010-05-23,180,1.0,1.0,3,Normal Sale,No,1983-05-30,House,AllPub,Paved,A,4.0,3.7,4.7,4.19,154109,114339,4971250,1983,2010,27
37,P03704,Velachery,1648,2011-01-28,111,2.0,1.0,4,Family,Yes,1998-01-31,Others,NoSeWa,Paved,C,4.3,2.9,2.0,2.98,275120,82536,9170660,1998,2011,13
38,P02247,Chrompet,856,2011-07-11,36,1.0,1.0,3,AdjLand,Yes,1985-11-13,Others,NoSeWa,Gravel,RM,2.1,3.6,3.5,3.12,332269,103834,10383420,1985,2011,26
39,P07194,Adyar,904,2009-01-24,52,1.0,1.0,3,AdjLand,No,1969-03-02,Commercial,ELO,No Access,RM,3.8,3.2,2.6,3.08,348042,23203,11601400,1969,2009,40
40,P01107,Chrompet,1198,2012-12-21,105,1.0,1.0,3,Normal Sale,No,1976-12-30,Others,AllPub,No Access,RH,3.9,3.4,4.4,3.85,255727,98991,8249260,1976,2012,36
41,P02442,Karapakkam,931,2011-03-10,16,1.0,1.0,3,AdjLand,No,1993-07-10,Commercial,AllPub,Paved,A,4.0,4.2,2.4,3.42,291669,166668,6944500,1993,2011,18
42,P06444,Karapakkam,1290,2009-08-18,86,1.0,1.0,3,AdjLand,Yes,1961-08-30,House,AllPub,Paved,RH,3.1,2.1,4.1,3.2,364015,92940,7745000,1961,2009,48
43,P05298,Karapakkam,507,2010-03-23,49,1.0,1.0,2,AbNormal,Yes,1964-03-04,House,ELO,Gravel,RH,2.6,4.6,4.6,4.0,252032,74464,5728000,1964,2010,46
44,P05882,KK Nagar,2492,2009-06-12,113,4.0,2.0,6,AbNormal,No,1993-10-12,Commercial,NoSeWa,Paved,RL,4.3,4.6,3.8,4.19,917550,224706,18725520,1993,2009,16
45,P02558,Karapakkam,851,2011-11-09,105,1.0,1.0,2,Partial,No,1982-09-18,House,AllPub,No Access,C,4.0,3.8,2.5,3.34,167896,39295,3572250,1982,2011,29
46,P09483,T Nagar,1882,2006-11-18,189,2.0,1.0,5,AbNormal,Yes,1985-11-23,Others,ELO,Gravel,RM,3.9,4.5,4.7,3.5032537884152344,433393,272877,16051580,1985,2006,21
47,P06006,Anna Nagar,1710,2009-12-11,15,1.0,1.0,4,Normal Sale,Yes,1998-11-15,Commercial,AllPub,Gravel,RH,2.7,4.0,2.2,2.825,808639,161728,20215970,1998,2009,11
48,P04106,Karapakkam,1412,2010-06-11,28,2.0,2.0,4,AdjLand,No,1982-11-13,House,ELO,Gravel,RL,4.1,2.9,3.1,3.34,251370,192717,8379000,1982,2010,28
49,P09556,Adyar,779,2006-12-10,51,1.0,1.0,2,Normal Sale,No,1997-10-14,House,NoSeWa,No Access,C,3.6,4.4,2.4,3.16,190463,31744,5290635,1997,2006,9
50,P00389,T Nagar,1655,2014-05-21,19,1.0,1.0,4,AbNormal,No,1980-05-29,Others,AllPub,Gravel,RH,2.1,4.3,3.9,3.46,376468,238430,12548930,1980,2014,34
51,P05245,Karapakkam,940,2010-03-04,167,1.0,1.0,3,AdjLand,No,1961-04-15,House,AllPub,Paved,RH,2.7,2.7,4.1,3.26,263599,64435,5857750,1961,2010,49
52,P01690,KK Nagar,1667,2012-02-26,126,2.0,1.0,4,Partial,Yes,2007-02-27,House,NoSeWa,Paved,RM,4.8,2.1,5.0,4.07,364810,268243,10729700,2007,2012,5
53,P07753,KK Nagar,1926,2008-12-08,49,3.0,2.0,5,Family,Yes,1999-08-15,Commercial,NoSeWa,Paved,RM,3.1,2.9,4.7,3.68,816325,153061,17006780,1999,2008,9
54,P08611,Adyar,718,2007-10-23,75,1.0,1.0,2,Partial,Yes,1977-10-30,Others,ELO,No Access,C,2.0,3.9,3.4,3.08,211662,55701,5570050,1977,2007,30
55,P01934,Karapakkam,545,2012-12-01,154,1.0,1.0,2,Partial,No,1982-01-19,Others,ELO,No Access,RH,3.1,2.2,3.4,2.95,165738,88651,3854375,1982,2012,30
56,P06326,Karapakkam,1249,2009-12-09,25,1.0,1.0,3,AdjLand,Yes,1973-09-21,Others,ELO,Gravel,RH,2.8,3.7,3.5,3.35,318010,120328,8594875,1973,2009,36
57,P00865,T Nagar,1894,2013-08-06,187,2.0,1.0,5,Partial,Yes,1968-06-19,House,NoSeWa,Gravel,RL,2.0,3.7,4.4,3.505,406478,162591,13549250,1968,2013,45
58,P02088,Karapakkam,1469,2011-12-12,200,2.0,2.0,4,AbNormal,No,2006-12-13,Commercial,NoSeWa,No Access,C,4.7,2.0,2.4,2.97,284423,132731,9480750,2006,2011,5
59,P07770,Adyar,916,2008-08-08,32,1.0,1.0,3,Normal Sale,Yes,1980-08-15,House,ELO,No Access,A,3.6,3.0,3.9,3.63,228053,23390,5847520,1980,2008,28
60,P08118,Chrompet,934,2008-04-20,11,1.0,1.0,3,AdjLand,Yes,1986-04-26,House,NoSeWa,Paved,RM,3.4,4.0,3.8,3.76,310749,58265,9710900,1986,2008,22
61,P03221,Karapakkam,1691,2011-02-05,100,2.0,2.0,4,AbNormal,No,1980-09-05,House,NoSeWa,Gravel,RM,4.0,3.9,3.5,3.77,319558,178576,9398750,1980,2011,31
62,P03273,Karapakkam,1236,2011-04-21,36,1.0,1.0,3,Normal Sale,No,1972-04-30,Commercial,NoSeWa,Paved,I,3.3,3.3,2.0,2.78,334638,114481,8806250,1972,2011,39
63,P08667,T Nagar,1577,2007-09-28,23,1.0,1.0,4,Partial,Yes,1971-07-10,Others,NoSeWa,Paved,RH,3.8,4.7,3.9,4.07,302183,193397,12087330,1971,2007,36
64,P03791,Anna Nagar,1915,2011-10-01,13,2.0,1.0,5,Partial,Yes,1970-01-20,Others,NoSeWa,Gravel,RH,4.6,2.3,4.5,3.985,354391,170107,14175620,1970,2011,41
65,P01247,Anna Nagar,1600,2012-09-30,154,1.0,1.0,4,Family,Yes,1991-06-10,House,ELO,Gravel,RH,3.9,2.7,2.5,3.04,309941,166891,11920820,1991,2012,21
66,P02391,Velachery,1579,2011-10-14,58,2.0,1.0,4,AbNormal,Yes,1987-10-20,Commercial,ELO,Paved,I,4.6,2.3,2.3,2.88,467766,240565,13364730,1987,2011,24
67,P07825,Adyar,1260,2008-07-21,89,2.0,2.0,4,Partial,No,1983-07-28,Others,NoSeWa,No Access,A,3.8,4.1,4.5,4.21,256150,34615,6922975,1983,2008,25
68,P05787,Adyar,1021,2009-12-22,176,1.0,1.0,3,Normal Sale,No,2004-12-23,Commercial,NoSeWa,Paved,I,3.5,4.8,2.5,3.26,361868,175098,11673175,2004,2009,5
69,P02285,KK Nagar,2174,2011-10-31,48,3.0,2.0,5,Family,Yes,1988-05-11,Others,AllPub,Paved,RM,2.9,2.1,2.3,2.42,548929,313674,13069740,1988,2011,23
70,P05304,Anna Nagar,1589,2010-03-22,39,1.0,1.213260135135135,4,Partial,No,1966-02-04,Others,AllPub,Gravel,RL,2.1,2.5,4.5,3.16,451857,85486,12212350,1966,2010,44
71,P05309,Adyar,668,2010-03-21,177,1.0,1.0,2,AbNormal,Yes,2005-03-22,Commercial,NoSeWa,Gravel,I,4.9,2.9,3.5,3.8,329074,102836,10283575,2005,2010,5
72,P09664,Velachery,1724,2006-09-04,116,2.0,1.0,4,AbNormal,Yes,1952-04-22,House,ELO,No Access,RL,3.8,2.2,2.0,2.54,358259,152260,8956480,1952,2006,54
73,P02813,Adyar,890,2011-07-20,116,1.0,1.0,3,AbNormal,Yes,1981-07-27,House,NoSeWa,Paved,C,2.5,4.7,5.0,4.19,251557,43124,7187350,1981,2011,30
74,P08933,Adyar,1218,2007-06-13,51,2.0,2.0,4,Normal Sale,No,1977-06-20,Commercial,AllPub,No Access,I,4.7,3.9,3.3,3.84,377246,138323,12574850,1977,2007,30
75,P03590,Anna Nagar,1792,2011-02-21,41,1.0,1.0,4,Family,Yes,1990-02-26,House,ELO,Gravel,RM,2.7,2.6,2.0,2.395,514532,250313,13906270,1990,2011,21
76,P01725,Karapakkam,1378,2012-02-19,192,2.0,2.0,4,AdjLand,No,2003-02-21,Others,NoSeWa,Gravel,RM,4.2,2.8,2.6,3.14,297525,208268,9917500,2003,2012,9
77,P06570,Karapakkam,898,2009-07-22,72,1.0,1.0,3,Partial,Yes,1980-07-29,Commercial,NoSeWa,Paved,RH,2.4,3.1,2.1,2.49,345190,215744,8629750,1980,2009,29
78,P02686,Anna Nagar,1928,2011-08-18,148,2.0,1.0,5,Partial,No,2001-08-20,House,AllPub,No Access,RH,3.4,4.1,2.4,3.175,466682,105003,11667050,2001,2011,10
79,P07789,Chrompet,1233,2008-02-08,24,2.0,1.0,4,AbNormal,No,1975-11-08,House,NoSeWa,Gravel,RM,2.2,2.0,4.6,2.84,245429,107989,9817150,1975,2008,33
80,P08836,Velachery,1618,2007-07-30,100,2.0,1.0,4,AdjLand,Yes,1967-09-08,Others,NoSeWa,Paved,C,4.0,4.3,4.1,4.17,370522,92631,9263050,1967,2007,40
81,P02716,Karapakkam,627,2011-12-08,49,1.0,1.0,2,Family,No,1983-08-19,House,NoSeWa,Gravel,RM,4.3,2.8,2.5,3.13,223975,92225,6587500,1983,2011,28
82,P09780,Velachery,1563,2005-08-16,43,2.0,1.0,4,Family,No,1977-08-23,House,NoSeWa,Gravel,RM,4.7,4.5,2.6,3.98,303780,195987,9799360,1977,2005,28
83,P06528,Karapakkam,1693,2009-07-30,187,2.0,2.0,4,Normal Sale,Yes,2003-01-08,Commercial,NoSeWa,Gravel,C,3.9,2.1,3.9,3.36,384045,166420,12801500,2003,2009,6
84,P06989,T Nagar,1522,2009-03-30,85,1.0,1.0,4,Partial,No,1966-10-04,Commercial,AllPub,Gravel,RL,4.2,3.6,3.5,3.735,506181,174545,17454510,1966,2009,43
85,P07824,Adyar,1090,2008-07-21,171,1.0,1.0,3,Partial,Yes,1980-07-28,Others,NoSeWa,Gravel,RH,3.1,2.7,2.3,2.62,373632,98324,9832420,1980,2008,28
86,P00545,Chrompet,1085,2014-01-19,149,1.0,1.0,3,AbNormal,Yes,2008-01-21,Commercial,NoSeWa,Gravel,RL,2.8,3.8,4.6,3.5032537884152344,387815,100545,14363500,2008,2014,6
87,P06461,T Nagar,1687,2009-08-13,73,1.0,1.0,4,AbNormal,No,1996-08-16,Others,NoSeWa,Paved,RH,4.6,4.6,2.0,3.43,411733,224582,12476770,1996,2009,13
88,P07650,Adyar,692,2008-12-09,62,1.0,1.0,2,Normal Sale,Yes,1971-09-22,Commercial,AllPub,Paved,RH,4.1,4.4,5.0,4.61,394491,124576,10381355,1971,2008,37
89,P07887,T Nagar,1518,2008-03-07,145,1.0,1.0,4,Family,Yes,1971-07-13,Commercial,AllPub,Paved,RH,3.7,3.5,4.1,3.83,457606,158402,17600240,1971,2008,37
90,P08050,Adyar,1025,2008-10-05,125,1.0,1.0,3,Partial,No,1983-05-17,Commercial,NoSeWa,Paved,I,2.5,2.5,2.7,2.6,349916,142153,10934875,1983,2008,25
91,P04677,KK Nagar,2170,2010-07-20,121,3.0,2.0,5,Family,Yes,2002-07-22,House,NoSeWa,Gravel,RL,3.7,4.6,4.0,4.09,593864,284560,12372160,2002,2010,8
92,P03124,Chrompet,969,2011-05-23,70,1.0,1.0,3,Family,Yes,1994-05-27,Commercial,ELO,No Access,RH,3.4,2.4,4.0,3.18,337463,146234,11248750,1994,2011,17
93,P08147,KK Nagar,1546,2008-09-04,129,2.0,1.0,4,AbNormal,No,1981-04-16,Commercial,AllPub,Gravel,RM,2.5,4.3,2.8,3.16,441475,142411,14241140,1981,2008,27
94,P06097,KK Nagar,1709,2009-10-24,6,2.0,1.0,4,AbNormal,Yes,1989-10-29,House,NoSeWa,Paved,RL,4.3,3.7,2.0,3.2,467388,233694,10160600,1989,2009,20
95,P00959,T Nagar,1659,2013-07-04,103,1.0,1.0,4,AdjLand,Yes,1995-12-04,Others,NoSeWa,No Access,RL,3.8,2.3,3.8,3.425,433251,216625,13539080,1995,2013,18
96,P00057,Chrompet,755,2015-09-01,8,1.0,1.0,2,Normal Sale,No,1982-01-17,Commercial,ELO,Gravel,RM,3.8,4.4,2.7,3.71,289649,42911,10727750,1982,2015,33
97,P08607,Adyar,1182,2007-10-24,50,1.0,1.0,3,Normal Sale,Yes,1990-10-28,House,AllPub,No Access,RL,3.2,3.5,3.1,3.21,374948,39468,9867055,1990,2007,17
98,P01632,Adyar,735,2012-06-03,67,1.0,1.0,2,AdjLand,No,1998-10-03,Commercial,NoSeWa,No Access,RH,2.7,4.0,4.0,3.61,284361,132702,9478710,1998,2012,14
99,P00937,Chrompet,1089,2013-04-19,0,1.0,1.0,3,Normal Sale,Yes,1981-04-27,House,ELO,Paved,RL,2.7,2.9,3.1,2.9,235305,45251,9050200,1981,2013,32
100,P09868,Velachery,1534,2005-04-01,6,2.0,1.0,4,Partial,Yes,1952-01-18,Others,ELO,Paved,C,4.7,4.6,2.3,3.94,284552,63234,7904210,1952,2005,53
101,P08848,Anna Nagar,1622,2007-07-26,147,1.0,1.0,4,Family,Yes,2002-07-27,House,ELO,Gravel,RL,4.4,3.7,4.2,4.145,378840,209015,13063450,2002,2007,5
102,P07681,KK Nagar,2198,2008-04-09,71,3.0,2.0,5,Partial,Yes,1987-10-09,Others,NoSeWa,Gravel,RM,4.8,4.2,3.9,4.26,679249,122265,13584980,1987,2008,21
103,P00407,Chrompet,1293,2014-09-05,34,2.0,1.0,4,Normal Sale,No,1975-05-19,Commercial,ELO,No Access,RL,3.1,2.2,3.8,2.95,419714,157393,13116050,1975,2014,39
104,P06126,KK Nagar,1641,2009-10-17,178,2.0,1.0,4,Partial,No,1980-10-24,Others,AllPub,Gravel,RL,4.6,4.4,3.1,3.94,460580,190239,10012600,1980,2009,29
105,P09763,Velachery,1950,2005-03-09,185,3.0,2.0,5,AdjLand,Yes,1964-09-13,Others,NoSeWa,Paved,RL,5.0,4.2,3.4,4.16,411601,84741,12105920,1964,2005,41
106,P02652,Karapakkam,1245,2011-08-26,106,1.0,1.0,3,Partial,No,1983-02-09,Others,NoSeWa,Paved,A,4.1,2.9,3.5,3.5,201653,113123,4918375,1983,2011,28
107,P06329,Chrompet,905,2009-12-09,144,1.0,1.0,3,Family,No,1976-09-20,Others,ELO,Gravel,RH,3.8,3.5,4.0,3.74,223393,77032,7703200,1976,2009,33
108,P01701,KK Nagar,1496,2012-02-24,135,2.0,1.0,4,Family,No,1998-02-27,House,NoSeWa,Gravel,RH,3.2,3.8,2.8,3.22,265641,137105,8569080,1998,2012,14
109,P09722,Velachery,1892,2005-11-22,38,3.0,2.0,5,AdjLand,Yes,1969-01-12,House,ELO,Gravel,RM,3.9,3.5,4.8,3.99,449425,133613,12146620,1969,2005,36
110,P04743,Velachery,1517,2010-05-07,40,2.0,1.0,4,Family,No,1999-08-07,Commercial,ELO,Paved,C,4.0,4.6,2.9,3.94,408507,116716,11671620,1999,2010,11
111,P06768,Adyar,1034,2009-05-30,73,1.0,1.0,3,AdjLand,Yes,1993-03-06,Others,ELO,Gravel,C,3.8,3.3,3.5,3.5032537884152344,277702,46284,9256740,1993,2009,16
112,P06746,Velachery,1755,2009-06-06,142,2.0,1.0,4,Family,Yes,1974-06-15,Commercial,NoSeWa,Gravel,I,4.6,4.0,3.9,4.12,581720,193907,14915900,1974,2009,35
113,P00934,Anna Nagar,1622,2013-04-20,79,1.0,1.0,4,AdjLand,Yes,2006-04-22,House,NoSeWa,Paved,RM,2.2,3.3,2.2,2.475,406434,243860,13547790,2006,2013,7
114,P00899,Chrompet,1092,2013-05-13,89,1.0,1.0,3,Normal Sale,No,2009-05-14,Others,AllPub,No Access,RH,2.4,2.4,2.0,2.28,246391,57491,8213040,2009,2013,4
115,P00566,Chrompet,821,2014-02-01,34,1.0,1.0,3,AdjLand,No,2006-04-01,House,NoSeWa,Paved,RH,3.4,4.6,2.9,3.73,182600,65736,7304000,2006,2014,8
116,P07878,KK Nagar,1694,2008-07-07,72,2.0,1.0,4,Family,No,1997-10-07,Others,NoSeWa,Gravel,RL,4.0,2.0,3.9,3.36,353291,114300,10390900,1997,2008,11
117,P05305,Anna Nagar,1809,2010-03-22,177,2.0,1.0,5,Family,No,1984-03-28,Commercial,AllPub,No Access,RL,3.0,3.5,2.0,2.725,518585,230482,19206870,1984,2010,26
118,P02252,Karapakkam,1401,2011-05-11,20,2.0,2.0,4,Partial,Yes,1997-08-11,Others,AllPub,Gravel,RL,3.8,4.3,4.0,4.03,438477,229204,9965375,1997,2011,14
119,P03571,Karapakkam,1470,2011-02-26,99,2.0,2.0,4,AbNormal,No,1986-04-03,Others,NoSeWa,No Access,RH,3.1,3.0,3.1,3.07,302694,172968,7207000,1986,2011,25
120,P00942,Chrompet,798,2013-04-15,166,1.0,1.0,2,Partial,No,1976-04-24,Commercial,NoSeWa,Paved,RH,2.3,2.6,3.6,2.81,253975,145129,9070550,1976,2013,37
121,P08304,Chrompet,764,2008-02-21,137,1.0,1.0,2,Partial,No,2000-02-23,House,ELO,No Access,RH,3.3,3.2,2.1,2.9,158766,90723,5670200,2000,2008,8
122,P07597,Chrompet,1135,2008-09-25,50,1.0,1.0,3,AbNormal,No,1985-01-10,Others,NoSeWa,No Access,RM,4.9,2.1,3.8,3.45,296102,148051,9253200,1985,2008,23
123,P06565,Karapakkam,939,2009-07-23,74,1.0,1.0,3,AbNormal,No,1971-02-08,House,ELO,No Access,I,4.9,3.7,3.3,3.9,214700,38646,4294000,1971,2009,38
124,P06398,Karapakkam,1586,2009-08-27,59,2.0,2.0,4,Normal Sale,Yes,1981-03-09,Commercial,NoSeWa,Gravel,RM,3.9,3.0,4.5,3.87,586956,200424,14316000,1981,2009,28
125,P09293,T Nagar,1973,2007-01-29,63,2.0,1.0,5,Family,Yes,1972-07-02,Commercial,AllPub,Gravel,RM,2.6,2.9,4.9,3.71,885666,116535,23307000,1972,2007,35
126,P09021,Chrompet,1023,2007-11-05,44,1.0,1.0,3,Partial,Yes,1990-05-15,House,AllPub,Paved,RM,3.0,2.8,3.6,3.1,282319,38941,9735150,1990,2007,17
127,P04325,Chrompet,884,2010-09-22,75,1.0,1.0,3,Normal Sale,No,2006-09-23,Commercial,NoSeWa,No Access,RM,2.3,3.8,2.4,2.93,283410,45346,11336400,2006,2010,4
128,P05031,Anna Nagar,1640,2010-05-14,113,1.0,1.0,4,AdjLand,No,2005-05-15,Commercial,ELO,No Access,RH,2.5,3.1,3.5,3.05,495645,194718,17701600,2005,2010,5
129,P08918,Adyar,622,2007-06-20,60,1.0,1.0,2,Normal Sale,No,1987-06-25,Others,ELO,No Access,RL,2.7,4.9,3.5,3.54,216906,72302,6572900,1987,2007,20
130,P05947,Anna Nagar,1880,2009-11-23,90,2.0,1.0,5,Partial,Yes,1993-11-27,House,NoSeWa,No Access,RM,3.2,4.2,4.0,3.77,483229,214768,13423020,1993,2009,16
131,P05350,KK Nagar,2413,2010-03-13,166,4.0,2.0,6,AbNormal,No,2001-03-15,Others,NoSeWa,Paved,RM,2.5,2.4,2.9,2.63,419905,170587,13122040,2001,2010,9
132,P07092,T Nagar,1649,2009-02-28,169,1.0,1.0,4,AdjLand,No,1984-06-03,Commercial,AllPub,Gravel,RH,2.1,2.0,4.6,3.2,681808,113635,18939100,1984,2009,25
133,P08337,Velachery,1729,2008-08-02,144,2.0,1.0,4,Partial,Yes,1967-02-18,Commercial,NoSeWa,Paved,A,3.3,4.0,4.0,3.83,396911,128036,12803570,1967,2008,41
134,P00089,T Nagar,1942,2014-12-20,10,2.0,1.0,5,Family,No,1977-12-29,House,NoSeWa,Gravel,RH,4.6,3.1,2.9,3.5032537884152344,320599,61654,12330740,1977,2014,37
135,P00403,Chrompet,711,2014-12-05,116,1.0,1.0,2,AdjLand,Yes,2002-05-15,Others,NoSeWa,No Access,RL,2.6,3.2,2.8,2.9,249558,64402,8050270,2002,2014,12
