,AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,AGE_OF_HOUSE,OVERALL_PRICE
50,5,1655,19,1.0,1.0,4,0,0,2,0,0,3,2.1,4.3,3.9,3.46,34,13163828
51,4,940,167,1.0,1.0,3,1,0,1,0,2,3,2.7,2.7,4.1,3.26,49,6185784
52,3,1667,126,2.0,1.0,4,4,1,1,2,2,5,4.8,2.1,5.0,4.07,5,11362753
53,3,1926,49,3.0,2.0,5,2,1,0,2,2,5,3.1,2.9,4.7,3.68,9,17976166
54,0,718,75,1.0,1.0,2,4,1,2,1,1,1,2.0,3.9,3.4,3.08,30,5837413
55,4,545,154,1.0,1.0,2,4,0,2,1,1,3,3.1,2.2,3.4,2.95,30,4108764
56,4,1249,25,1.0,1.0,3,1,1,2,1,0,3,2.8,3.7,3.5,3.35,36,9033213
57,5,1894,187,2.0,1.0,5,4,1,1,2,0,4,2.0,3.7,4.4,3.505,45,14118319
58,4,1469,200,2.0,2.0,4,0,0,0,2,1,1,4.7,2.0,2.4,2.97,5,9897904
59,0,916,32,1.0,1.0,3,3,1,1,1,1,0,3.6,3.0,3.9,3.63,28,6098963
60,2,934,11,1.0,1.0,3,1,1,1,2,2,5,3.4,4.0,3.8,3.76,22,10079914
61,4,1691,100,2.0,2.0,4,0,0,1,2,0,5,4.0,3.9,3.5,3.77,31,9896884
62,4,1236,36,1.0,1.0,3,3,0,0,2,2,2,3.3,3.3,2.0,2.78,39,9255369
63,5,1577,23,1.0,1.0,4,4,1,2,2,2,3,3.8,4.7,3.9,4.07,36,12582910
64,1,1915,13,2.0,1.0,5,4,1,2,2,0,3,4.6,2.3,4.5,3.985,41,14700118
65,1,1600,154,1.0,1.0,4,2,1,1,1,0,3,3.9,2.7,2.5,3.04,21,12397652
66,6,1579,58,2.0,1.0,4,0,1,0,1,2,2,4.6,2.3,2.3,2.88,24,14073061
67,0,1260,89,2.0,2.0,4,4,0,2,2,1,0,3.8,4.1,4.5,4.21,25,7213740
68,0,1021,176,1.0,1.0,3,3,0,0,2,2,2,3.5,4.8,2.5,3.26,5,12210141
69,3,2174,48,3.0,2.0,5,2,1,2,0,2,5,2.9,2.1,2.3,2.42,23,13932343
70,1,1589,39,1.0,1.213260135135135,4,4,0,2,0,0,4,2.1,2.5,4.5,3.16,44,12749693
71,0,668,177,1.0,1.0,2,0,1,0,2,0,2,4.9,2.9,3.5,3.8,5,10715485
72,6,1724,116,2.0,1.0,4,0,1,1,1,1,4,3.8,2.2,2.0,2.54,54,9466999
73,0,890,116,1.0,1.0,3,0,1,1,2,2,1,2.5,4.7,5.0,4.19,30,7482031
74,0,1218,51,2.0,2.0,4,3,0,0,0,1,2,4.7,3.9,3.3,3.84,30,13090419
75,1,1792,41,1.0,1.0,4,2,1,1,1,0,5,2.7,2.6,2.0,2.395,21,14671115
76,4,1378,192,2.0,2.0,4,1,0,2,2,0,5,4.2,2.8,2.6,3.14,9,10423293
77,4,898,72,1.0,1.0,3,4,1,0,2,2,3,2.4,3.1,2.1,2.49,29,9190684
78,1,1928,148,2.0,1.0,5,4,0,1,0,1,3,3.4,4.1,2.4,3.175,10,12238735
79,2,1233,24,2.0,1.0,4,0,0,1,2,0,5,2.2,2.0,4.6,2.84,33,10170568
80,6,1618,100,2.0,1.0,4,1,1,2,2,2,1,4.0,4.3,4.1,4.17,40,9726203
81,4,627,49,1.0,1.0,2,2,0,1,2,0,5,4.3,2.8,2.5,3.13,28,6903700
82,6,1563,43,2.0,1.0,4,2,0,1,2,0,5,4.7,4.5,2.6,3.98,28,10299127
83,4,1693,187,2.0,2.0,4,3,1,0,2,0,1,3.9,2.1,3.9,3.36,6,13351965
84,5,1522,85,1.0,1.0,4,4,0,0,0,0,4,4.2,3.6,3.5,3.735,43,18135236
85,0,1090,171,1.0,1.0,3,4,1,2,2,0,3,3.1,2.7,2.3,2.62,28,10304376
86,2,1085,149,1.0,1.0,3,0,1,0,2,0,4,2.8,3.8,4.6,3.5032537884152344,6,14851860
87,5,1687,73,1.0,1.0,4,0,0,2,2,2,3,4.6,4.6,2.0,3.43,13,13113085
88,0,692,62,1.0,1.0,2,3,1,0,0,2,3,4.1,4.4,5.0,4.61,37,10900422
89,5,1518,145,1.0,1.0,4,2,1,0,0,2,3,3.7,3.5,4.1,3.83,37,18216248
90,0,1025,125,1.0,1.0,3,4,0,0,2,2,2,2.5,2.5,2.7,2.6,25,11426944
91,3,2170,121,3.0,2.0,5,2,1,1,2,0,4,3.7,4.6,4.0,4.09,8,13250584
92,2,969,70,1.0,1.0,3,2,1,0,1,1,3,3.4,2.4,4.0,3.18,17,11732447
93,3,1546,129,2.0,1.0,4,0,0,0,0,0,5,2.5,4.3,2.8,3.16,27,14825026
94,3,1709,6,2.0,1.0,4,0,1,1,2,2,4,4.3,3.7,2.0,3.2,20,10861682
95,5,1659,103,1.0,1.0,4,1,1,2,2,1,4,3.8,2.3,3.8,3.425,18,14188956
96,2,755,8,1.0,1.0,2,3,0,0,1,0,5,3.8,4.4,2.7,3.71,33,11060310
97,0,1182,50,1.0,1.0,3,3,1,1,0,1,4,3.2,3.5,3.1,3.21,17,10281471
98,0,735,67,1.0,1.0,2,1,0,0,2,1,3,2.7,4.0,4.0,3.61,14,9895773
99,2,1089,0,1.0,1.0,3,3,1,1,1,2,4,2.7,2.9,3.1,2.9,32,9330756
100,6,1534,6,2.0,1.0,4,4,1,2,1,2,1,4.7,4.6,2.3,3.94,53,8251996
101,1,1622,147,1.0,1.0,4,2,1,1,1,0,4,4.4,3.7,4.2,4.145,5,13651305
102,3,2198,71,3.0,2.0,5,4,1,2,2,0,5,4.8,4.2,3.9,4.26,21,14386494
103,2,1293,34,2.0,1.0,4,3,0,0,1,1,4,3.1,2.2,3.8,2.95,39,13693157
104,3,1641,178,2.0,1.0,4,4,0,2,0,0,4,4.6,4.4,3.1,3.94,29,10663419
105,6,1950,185,3.0,2.0,5,1,1,2,2,2,4,5.0,4.2,3.4,4.16,41,12602262
106,4,1245,106,1.0,1.0,3,4,0,2,2,2,0,4.1,2.9,3.5,3.5,28,5233151
107,2,905,144,1.0,1.0,3,2,0,2,1,0,3,3.8,3.5,4.0,3.74,33,8003625
108,3,1496,135,2.0,1.0,4,2,0,1,2,0,3,3.2,3.8,2.8,3.22,14,8971826
109,6,1892,38,3.0,2.0,5,1,1,1,1,0,5,3.9,3.5,4.8,3.99,36,12729658
110,6,1517,40,2.0,1.0,4,2,0,0,1,2,1,4.0,4.6,2.9,3.94,11,12196843
111,0,1034,73,1.0,1.0,3,1,1,2,1,0,1,3.8,3.3,3.5,3.5032537884152344,16,9580726
112,6,1755,142,2.0,1.0,4,2,1,0,2,0,2,4.6,4.0,3.9,4.12,35,15691527
113,1,1622,79,1.0,1.0,4,1,1,1,2,2,5,2.2,3.3,2.2,2.475,7,14198084
114,2,1092,89,1.0,1.0,3,3,0,2,0,1,3,2.4,2.4,2.0,2.28,4,8516922
115,2,821,34,1.0,1.0,3,1,0,1,2,2,3,3.4,4.6,2.9,3.73,8,7552336
116,3,1694,72,2.0,1.0,4,2,0,2,2,0,4,4.0,2.0,3.9,3.36,11,10858491
117,1,1809,177,2.0,1.0,5,2,0,0,0,1,4,3.0,3.5,2.0,2.725,26,19955937
118,4,1401,20,2.0,2.0,4,4,1,2,0,0,4,3.8,4.3,4.0,4.03,14,10633056
119,4,1470,99,2.0,2.0,4,0,0,2,2,1,3,3.1,3.0,3.1,3.07,25,7682662
120,2,798,166,1.0,1.0,2,4,0,0,2,2,3,2.3,2.6,3.6,2.81,37,9469654
121,2,764,137,1.0,1.0,2,4,0,1,1,1,3,3.3,3.2,2.1,2.9,8,5919689
122,2,1135,50,1.0,1.0,3,0,0,2,2,1,5,4.9,2.1,3.8,3.45,23,9697353
123,4,939,74,1.0,1.0,3,0,0,1,1,1,2,4.9,3.7,3.3,3.9,38,4547346
124,4,1586,59,2.0,2.0,4,3,1,0,2,0,5,3.9,3.0,4.5,3.87,28,15103380
125,5,1973,63,2.0,1.0,5,2,1,0,0,0,5,2.6,2.9,4.9,3.71,35,24309201
126,2,1023,44,1.0,1.0,3,4,1,1,0,2,5,3.0,2.8,3.6,3.1,17,10056410
127,2,884,75,1.0,1.0,3,3,0,0,2,1,5,2.3,3.8,2.4,2.93,4,11665156
128,1,1640,113,1.0,1.0,4,1,0,0,1,1,3,2.5,3.1,3.5,3.05,5,18391963
129,0,622,60,1.0,1.0,2,3,0,2,1,1,4,2.7,4.9,3.5,3.54,20,6862108
130,1,1880,90,2.0,1.0,5,4,1,1,2,1,5,3.2,4.2,4.0,3.77,16,14121017
131,3,2413,166,4.0,2.0,6,0,0,2,2,2,5,2.5,2.4,2.9,2.63,9,13712532
132,5,1649,169,1.0,1.0,4,1,0,0,0,0,3,2.1,2.0,4.6,3.2,25,19734543
133,6,1729,144,2.0,1.0,4,4,1,0,2,2,0,3.3,4.0,4.0,3.83,41,13328517
134,5,1942,10,2.0,1.0,5,2,0,1,2,0,3,4.6,3.1,2.9,3.5032537884152344,37,12712993
135,2,711,116,1.0,1.0,2,1,1,2,2,1,4,2.6,3.2,2.8,2.9,12,8364230
136,2,885,122,1.0,1.0,3,2,0,1,1,1,5,4.6,2.7,2.1,3.09,32,7539941
137,3,1688,148,2.0,1.0,4,0,1,1,2,0,5,2.0,2.5,4.4,3.11,15,12245828
138,0,1236,108,2.0,2.0,4,2,0,0,1,0,0,3.7,3.5,4.4,4.01,37,12540840
139,4,926,98,1.0,1.0,3,2,0,1,1,0,4,4.3,4.8,2.9,3.89,20,7234604
140,3,1686,57,2.0,1.0,4,0,0,2,2,2,5,3.2,2.7,3.9,3.33,24,10925799
141,4,1344,129,2.0,2.0,4,1,0,0,2,0,3,4.6,4.2,3.3,3.96,50,11522927
142,3,1437,104,2.0,1.0,4,2,0,2,0,0,5,3.8,4.6,2.6,3.56,23,10792235
143,4,1430,17,2.0,2.0,4,0,1,2,2,1,0,4.3,3.2,3.8,3.5032537884152344,10,6980809
144,0,1081,85,1.0,1.0,3,2,0,1,0,1,1,3.5,3.1,3.2,3.27,30,6437756
145,4,1352,1,2.0,2.0,4,3,1,1,1,0,0,3.0,2.0,3.5,2.9,27,6871656
146,3,1986,109,3.0,2.0,5,3,0,1,0,0,5,4.9,3.6,4.6,4.39,30,12054125
147,1,1758,164,1.0,1.0,4,4,1,0,0,1,4,3.5,2.9,4.0,3.55,42,20230531
148,4,607,121,1.0,1.0,2,3,0,2,2,0,4,4.2,4.9,2.2,3.61,46,6149457
149,3,2139,136,3.0,2.0,5,3,1,2,2,2,4,2.3,4.1,2.4,2.88,21,13145488
150,3,1488,97,2.0,1.0,4,4,0,2,0,2,3,2.3,5.0,4.1,3.83,27,9049717
151,6,1645,96,2.0,1.0,4,4,0,1,2,1,3,3.7,4.5,2.1,3.58,26,7905231
152,2,950,177,1.0,1.0,3,3,1,2,2,0,4,3.7,2.6,3.4,3.17,26,10178637
153,2,928,90,1.0,1.0,3,4,1,0,0,0,3,2.1,3.8,3.7,3.26,4,12895904
154,6,1693,145,2.0,1.0,4,3,1,0,2,2,5,4.1,2.7,4.1,3.47,53,16208565
155,6,1873,0,3.0,2.0,5,2,1,2,1,1,4,4.8,3.4,3.9,3.9,21,11584406
156,0,721,145,1.0,1.0,2,4,0,2,2,2,4,3.4,2.8,4.6,3.88,10,7940194
157,4,1190,37,1.0,1.0,3,2,1,1,2,0,3,4.3,4.1,3.8,4.04,29,8437847
158,3,1593,9,2.0,1.0,4,4,0,2,0,2,3,3.2,3.2,4.2,3.6,17,9573076
159,2,786,181,1.0,1.0,2,0,1,2,1,0,4,4.4,4.8,4.3,4.53,12,9577633
160,2,1195,93,1.0,1.0,3,1,0,2,2,2,4,3.0,4.7,3.2,3.74,19,10116248
161,6,1824,187,3.0,2.0,5,3,0,1,2,2,2,3.9,2.3,4.1,3.5032537884152344,33,8899572
162,3,1906,81,3.0,2.0,5,0,1,0,2,2,3,3.7,4.7,3.0,3.72,7,16851463
163,0,656,20,1.0,1.0,2,0,0,0,0,2,2,4.5,2.3,2.3,2.96,9,9151728
164,2,727,84,1.0,1.0,2,0,0,2,1,0,5,3.1,4.3,2.5,3.4,16,8735798
165,0,931,37,1.0,1.0,3,2,1,2,1,2,5,2.0,3.6,4.0,3.32,33,10323083
166,6,1898,108,3.0,2.0,5,1,1,0,1,1,5,3.9,2.7,4.4,3.51,38,17531842
167,1,1698,15,1.0,1.0,4,2,0,1,2,0,5,5.0,4.9,3.1,4.215,40,12970592
168,5,1926,193,2.0,1.0,5,1,1,0,2,1,5,4.2,4.9,3.1,3.88,17,23467870
169,4,1481,144,2.0,2.0,4,4,1,0,0,2,0,3.7,4.9,2.3,3.5,38,10564901
170,1,1506,122,1.0,1.0,4,2,0,1,1,1,5,3.9,3.4,2.1,3.055,33,11045554
171,2,1020,95,1.0,1.0,3,2,0,1,2,1,5,4.2,2.4,4.1,3.45,24,8187058
172,2,889,196,1.0,1.0,3,0,0,2,1,0,5,5.0,2.4,2.0,3.06,21,9535416
173,2,1015,147,1.0,1.0,3,2,1,1,0,2,3,3.9,4.4,2.0,3.53,35,8684907
174,5,1682,78,1.0,1.0,4,0,0,0,0,0,3,3.7,3.0,3.5,3.435,35,19464831
175,2,869,39,1.0,1.0,3,2,0,2,2,1,5,4.3,4.8,3.3,4.2,18,8532226
176,4,1445,20,2.0,2.0,4,2,0,1,2,1,2,4.9,2.9,2.5,3.34,24,6161039
177,1,1919,178,2.0,1.0,5,4,1,1,2,0,5,2.4,5.0,3.3,3.41,13,15365847
178,0,1243,141,2.0,2.0,4,3,1,0,2,2,1,3.9,4.3,2.2,3.13,36,13828056
179,4,857,158,1.0,1.0,2,3,0,1,1,2,2,3.6,2.4,3.4,3.16,17,5223945
180,4,1055,174,1.0,1.0,3,1,1,2,2,0,2,3.7,2.3,4.8,3.72,48,7658936
181,3,1778,94,3.0,2.0,5,2,0,2,2,0,4,3.1,3.9,4.4,3.86,8,11493244
182,4,851,124,1.0,1.0,2,1,0,2,1,2,0,3.8,4.8,2.6,3.62,41,4156812
183,2,1021,82,1.0,1.0,3,4,1,2,2,1,4,2.0,2.5,4.6,2.98,4,9625051
184,3,2203,76,3.0,2.0,5,0,1,0,2,2,4,2.9,2.0,4.0,3.07,22,18803694
185,4,613,81,1.0,1.0,2,2,0,0,2,1,2,4.6,4.3,2.3,3.59,30,5406870
186,0,738,69,1.0,1.0,2,4,0,0,2,1,2,2.4,4.7,5.0,3.5032537884152344,18,8645177
187,4,1489,177,2.0,2.0,4,1,0,1,1,0,3,4.4,3.2,4.0,3.88,29,8591779
188,4,795,73,1.0,1.0,2,0,1,1,2,0,5,3.4,2.6,4.9,3.76,9,8860817
189,6,1909,11,3.0,2.0,5,2,1,2,0,0,0,4.6,4.1,5.0,4.5,33,10645747
190,2,1252,190,2.0,1.0,4,2,0,1,0,1,5,3.6,4.9,4.6,4.42,12,9795113
191,4,1077,144,1.0,1.0,3,0,0,0,1,2,5,3.3,4.9,4.2,4.14,33,10398168
192,3,1524,73,2.0,1.0,4,3,0,2,2,2,3,3.6,2.7,2.8,3.01,27,9187694
193,2,1049,36,1.0,1.0,3,4,1,1,1,0,5,4.2,4.9,3.4,4.24,11,10724260
194,6,1780,194,2.0,1.0,4,0,0,2,0,0,1,4.7,2.0,2.9,2.95,55,9130616
195,2,946,14,1.0,1.0,3,1,0,0,1,1,4,3.8,3.1,4.5,3.73,17,11645669
196,2,906,116,1.0,1.0,3,4,1,1,2,0,5,3.2,4.6,3.2,3.76,32,9796068
197,3,2344,71,4.0,2.0,6,0,0,0,2,0,5,4.9,3.2,4.4,4.19,24,19943173
198,0,929,76,1.0,1.0,3,1,1,2,2,2,3,2.4,2.3,2.7,2.53,15,9897563
199,1,1843,158,2.0,1.0,5,1,0,1,1,1,4,3.9,3.4,3.3,3.535,15,12730811
200,1,1918,187,2.0,1.0,5,4,1,0,0,0,4,3.2,2.5,2.3,2.665,35,22903178
201,3,1507,54,2.0,1.0,4,3,1,0,0,2,3,3.2,4.8,3.0,3.6,19,14418587
202,3,1499,89,2.0,1.0,4,2,0,1,0,0,3,2.5,3.0,4.6,3.49,6,9435528
203,3,1526,64,2.0,1.0,4,3,1,0,0,2,3,4.1,3.8,4.5,4.17,22,14491033
204,1,1855,82,2.0,1.0,5,0,1,0,2,2,3,3.3,2.1,4.8,3.6,10,22025014
205,4,1627,39,2.0,2.0,4,3,1,2,1,2,3,4.1,4.6,2.5,3.61,30,9479325
206,6,1846,28,3.0,2.0,5,0,0,1,0,0,5,3.6,3.9,2.0,3.26,39,11324174
207,3,2019,65,3.0,2.0,5,0,1,2,2,2,5,3.8,3.1,3.2,3.35,16,13634663
208,4,1578,153,2.0,2.0,4,3,1,2,0,0,2,4.3,4.6,3.4,3.5032537884152344,13,10066321
209,6,1780,115,2.0,1.0,4,2,1,0,2,1,1,2.8,4.6,2.5,3.52,25,13973995
210,4,662,148,1.0,1.0,2,4,0,0,2,1,1,4.7,3.3,2.5,3.4,38,4565613
211,2,1005,17,1.0,1.0,3,2,0,0,2,0,4,2.2,2.8,4.9,3.25,26,12796413
212,4,839,102,1.0,1.0,2,4,0,1,2,2,1,4.6,4.6,2.3,3.68,20,4342430
213,1,1698,76,1.0,1.0,4,4,0,1,0,1,5,4.7,4.4,4.3,4.465,34,12011582
214,0,878,16,1.0,1.0,3,4,1,1,2,2,0,5.0,3.3,5.0,4.66,19,6685085
215,2,835,77,1.0,1.0,3,4,1,1,1,2,5,3.8,4.5,3.0,3.84,37,8696227
216,2,911,84,1.0,1.0,3,4,1,2,1,1,3,3.8,3.8,2.0,3.26,33,7710077
217,6,1796,176,2.0,1.0,4,1,1,1,1,1,3,4.8,2.1,3.8,3.29,50,9542407
218,4,1004,182,1.0,1.0,3,1,0,2,1,1,1,4.9,3.3,3.1,3.7,28,4990626
219,1,1694,86,1.0,1.0,4,3,0,2,2,2,4,2.6,2.5,2.4,2.495,27,13166035
220,4,1244,50,1.0,1.0,3,0,1,2,0,0,2,2.5,2.1,2.6,2.42,31,8342435
221,4,588,163,1.0,1.0,2,4,0,2,0,2,4,4.9,4.2,3.5,4.13,24,5990775
222,3,2342,69,4.0,2.0,6,1,1,1,2,2,4,4.1,3.8,2.6,3.41,7,13646867
223,6,1835,88,3.0,2.0,5,3,0,2,0,2,4,4.7,2.6,2.1,2.98,29,11323045
224,1,1977,84,2.0,1.0,5,4,1,1,0,0,4,4.6,4.8,3.9,4.37,43,14737593
225,3,1961,104,3.0,2.0,5,0,1,0,2,0,5,2.0,2.6,3.2,2.66,15,18792965
226,6,1517,82,2.0,1.0,4,3,1,1,2,1,0,3.2,3.5,3.8,3.52,12,7489941
227,3,2409,103,4.0,2.0,6,4,1,2,2,0,4,4.3,4.0,2.0,3.29,25,14325499
228,6,1864,187,3.0,2.0,5,4,0,0,1,0,3,3.2,4.6,2.8,3.71,23,15810287
229,6,1643,52,2.0,1.0,4,2,1,0,0,2,5,4.8,3.6,2.4,3.54,31,16425768
230,0,1015,76,1.0,1.0,3,2,1,0,2,1,1,4.6,2.2,2.3,2.97,8,11707278
231,1,1700,135,1.0,1.0,4,3,1,2,2,1,3,4.3,2.7,2.4,3.14,32,13075938
232,4,624,34,1.0,1.0,2,2,0,0,1,1,1,4.4,3.4,3.0,3.54,31,4690799
233,2,980,84,1.0,1.0,3,3,0,0,2,2,4,3.0,3.8,4.6,3.8,17,12412482
234,4,1003,196,1.0,1.0,3,0,1,0,2,0,3,2.5,4.3,4.4,3.8,20,10624770
235,0,1072,66,1.0,1.0,3,2,1,1,2,1,0,2.3,2.3,2.3,2.3,6,6905036
236,4,808,119,1.0,1.0,2,1,0,1,2,0,1,3.1,2.4,3.0,2.85,35,5004120
237,2,1027,131,1.0,1.0,3,3,0,1,1,2,3,2.8,3.7,3.3,3.31,21,7701797
238,4,696,84,1.0,1.0,2,3,0,1,2,0,4,3.5,2.1,3.6,3.12,11,6731106
239,6,1716,86,2.0,1.0,4,2,1,1,1,2,4,2.1,3.3,2.2,2.67,8,10929652
240,6,1878,18,3.0,2.0,5,2,0,0,0,2,1,5.0,2.6,4.8,3.86,6,15159786
241,3,1699,98,2.0,1.0,4,3,1,2,2,0,4,4.3,2.9,2.4,3.12,16,12027749
242,3,1626,188,2.0,1.0,4,0,0,1,0,2,5,2.9,3.6,2.7,3.03,24,10164294
243,3,1730,200,2.0,1.0,4,3,0,0,2,0,4,2.1,3.5,3.5,3.08,18,15564764
244,2,996,78,1.0,1.0,3,2,0,2,1,0,4,4.1,4.9,2.6,3.97,22,9386601
245,2,1277,111,2.0,1.0,4,1,1,0,0,1,5,4.0,3.8,3.4,3.74,16,16275974
246,2,906,64,1.0,1.0,3,3,0,0,2,2,3,3.2,2.3,2.9,2.75,32,10584531
247,1,1976,112,2.0,1.0,5,4,0,1,2,2,4,5.0,2.9,2.2,3.355,39,12779752
248,6,1776,120,2.0,1.0,4,3,1,1,2,2,3,4.9,2.4,3.4,3.5032537884152344,21,10398726
249,4,1402,112,2.0,2.0,4,3,0,1,2,0,2,3.7,3.6,5.0,4.19,30,7335725
250,2,1160,138,1.0,1.0,3,1,1,2,0,1,3,4.4,3.4,2.7,3.49,30,9823528
251,6,1957,134,3.0,2.0,5,3,1,0,1,1,2,4.6,3.7,3.1,3.75,25,15989821
252,5,1887,48,2.0,1.0,5,1,0,0,2,1,4,2.3,2.4,3.3,2.775,20,21421926
253,6,1859,142,3.0,2.0,5,3,1,1,1,2,3,4.6,4.9,4.4,4.68,48,10361919
254,2,747,168,1.0,1.0,2,2,1,0,0,1,5,4.9,2.7,2.7,3.36,5,11717387
255,0,985,159,1.0,1.0,3,4,1,1,2,2,1,3.6,2.7,2.1,2.67,7,7689444
256,2,1024,77,1.0,1.0,3,3,1,0,0,1,3,3.4,3.3,2.7,3.15,16,12502508
257,6,1600,148,2.0,1.0,4,2,1,2,1,2,4,2.9,3.5,4.9,3.77,25,10940878
